Time,LorR,Question,Character,Answer_State,Answer_Time
5.541986,left,9999,xx,irrelevant_answer,9999
6.342486,right,4,R,correct,0.7160511
7.452171,left,3,L,correct,0.6814137
8.348265,left,1,L,correct,0.501296
9.080438,left,2,L,correct,0.5043888
10.12265,right,6,R,correct,0.7405062
10.96261,left,5,L,correct,0.59021
11.92898,left,6,L,correct,0.5408573
12.88472,right,5,R,correct,0.5424395
14.0118,right,3,R,correct,0.6658754
14.80161,left,4,L,correct,0.5292511
15.67809,right,1,R,correct,0.6367016
16.53444,right,2,R,correct,0.5311756
17.42058,left,3,L,correct,0.4706268
18.3273,right,5,R,correct,0.4078865
19.15515,right,2,R,correct,0.5847721
20.17508,right,4,R,correct,0.5463943
21.15153,left,1,L,correct,0.4990196
22.39604,left,6,L,correct,0.9199982
23.15603,right,6,R,correct,0.4564972
23.93727,left,2,L,correct,0.5341587
24.75311,left,4,L,correct,0.5112877
25.52942,right,5,R,correct,0.5241241
26.42473,left,1,L,correct,0.5076008
27.41434,left,3,L,correct,0.7085972
28.48007,right,3,R,correct,0.